,No.,Planet Name,Planet Host,Num Stars,Num Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period Days,Orbit Semi-Major Axis,Mass,Eccentricity,Insolation Flux,Equilibrium Temperature,Distance,Gaia Magnitude
0,1,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03,1.29,6165.6,0.231,,,93.1846,4.44038
1,2,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,4684.8142,0.08,,,125.321,4.56216
2,3,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.83,1525.5,0.0,,,75.4392,4.91781
3,4,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.93,1481.0878,0.37,,,17.9323,6.383
4,5,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,565.7374,0.68,,,21.1397,6.06428
5,6,17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,1373.01872,0.06,,,124.953,4.75429
6,7,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,2.6,3273.5,0.08,,,76.222,5.27476
7,8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330.0,3000.0,,,1700.0,139.135,12.0572
8,9,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.19,289.2253,0.042,,,95.9863,5.3339
9,10,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,632.46,0.09,,,72.0691,6.20374
10,11,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883.0,2.08,273.32,0.29,,,72.0691,6.20374
11,12,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,84.0,4131.79,,,,,
12,13,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,52.0,7786.5,,,,33.8281,12.9025
13,14,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156.0,4417.837,,,,,15.0123
14,15,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,,15.0,2383.6,,,,,18.9668
15,16,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,55.0,1589.15,,,1250.0,64.308,17.4076
16,17,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Kepler,416.0,0.92,603.877,,,,396.332,12.1376
17,18,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,W. M. Keck Observatory,7336.5,,6657.48,0.26,,2075.0,,17.3961
18,19,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,,230.0,3972.875,,,,69.5737,11.9484
19,20,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,4392.4106,0.29,,,44.657,6.96085
20,21,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,0.87,2256.5,0.432,,,73.4603,4.23773
21,22,42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1.19,1233.13,0.38,,,90.6545,4.43216
22,23,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078.0,2.1,804.08,0.032,,,13.7967,4.87837
23,24,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2391.0,3.6,171.621,0.098,,,13.7967,4.87837
24,25,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,14002.0,11.6,521.22,0.16,,,13.7967,4.87837
25,26,51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,,13.2,635.66,,,700.0,29.7575,5.15806
26,27,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,150.009,0.013,,,15.4614,5.28647
27,28,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.6516,0.1134,255.4,0.0,,,12.5855,5.72973
28,29,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.3989,0.2373,51.2,0.03,,,12.5855,5.72973
29,30,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5574.2,5.957,991.6,0.13,,,12.5855,5.72973
30,31,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,0.01544,7.99,0.05,,,12.5855,5.72973
31,32,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,259.88,0.7708,47.8,0.08,,,12.5855,5.72973
32,33,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,2.11,638.8383,0.073,,,54.6599,5.60686
33,34,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,4.215,0.050201,5.1,0.12,,,8.50332,4.54052
34,35,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,38.021,0.2175,18.2,0.14,,,8.50332,4.54052
35,36,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,123.01,0.476,22.9,0.35,,,8.50332,4.54052
36,37,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,735.1,1.758,587.9855,0.06,,,19.8101,3.67853
37,38,7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,996.0,2.153,276.5121,0.08,,,19.8101,3.67853
38,39,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.688,0.481,2357.02728,0.3988,,,17.9011,4.76178
39,40,75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,2.1,953.49,0.117,,,82.9613,5.09343
40,41,8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,0.49,416.3573,0.06,,,162.552,6.55896
41,42,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,2.5,1684.4,0.206,,,101.26,5.37588
42,43,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,181.4,0.7,1017.0,0.027,,,44.0304,3.95311
43,44,AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,,260.0,4290.5,,,,50.0475,8.8378
44,45,AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,0.0645,17.0,0.0,,593.0,9.7221,7.84038
45,46,AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,0.1101,13.6,0.0,,454.0,9.7221,7.84038
